TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F2,45.65,-92.17
F2,45.9,-92.03
F1,45.78,-89.13
F2,30.42,-92.23
F2,43.85,-104.32
F1,37.17,-100.53
F2,44.83,-92.67
F4,44.2,-91.85
F2,44.85,-92.65
F4,44.6,-91.37
F2,45.22,-92.38
F1,38.5,-100.48
F3,39.8,-97.9
F1,37.87,-97.6
F2,37.0,-97.6
F3,38.35,-96.67
F1,37.33,-96.67
F1,37.9,-95.4
F1,38.53,-96.87
F1,39.58,-100.48
F2,37.17,-101.3
F1,39.82,-100.73
F1,37.03,-100.95
F2,37.48,-99.92
F1,39.35,-100.05
F2,39.35,-99.85
F2,38.6,-97.07
F2,39.6,-95.6
F1,39.4,-98.43
F2,37.75,-97.27
F2,30.1,-91.98
F2,30.18,-91.93
F4,31.07,-93.05
F4,31.17,-92.82
F4,31.38,-92.4
F4,31.43,-92.43
F4,31.58,-92.53
F2,32.0,-93.7
F4,31.72,-92.4
F4,31.77,-92.35
F2,32.8,-92.67
F2,32.75,-92.13
F2,32.8,-92.05
F1,29.92,-90.45
F1,32.68,-84.9
F1,31.5,-83.55
F2,32.3,-84.02
F2,32.32,-84.52
F3,32.5,-85.0
F2,32.33,-84.5
F1,32.52,-83.88
F4,32.6,-83.6
F2,32.78,-83.5
F3,32.7,-83.35
F2,32.63,-83.7
F2,33.97,-84.42
F1,39.72,-96.78
F1,37.27,-97.67
F1,27.82,-82.83
F1,30.17,-81.7
F1,28.1,-80.7
F2,30.4,-85.87
F2,30.62,-84.28
F2,30.2,-85.8
F1,28.57,-82.48
F2,27.83,-82.17
F1,28.57,-81.75
F2,30.17,-85.7
F2,30.37,-85.45
F1,27.38,-80.33
F1,24.55,-81.77
F3,30.48,-90.7
F3,30.5,-90.55
F2,31.1,-93.22
F2,31.7,-92.8
F2,32.15,-92.15
F1,35.75,-89.53
F3,35.53,-88.97
F2,35.47,-89.45
F2,35.37,-88.78
F2,35.52,-88.5
F1,36.08,-89.38
F2,32.48,-92.53
F1,29.92,-91.0
F2,30.4,-92.23
F2,31.98,-93.0
F1,30.1,-97.33
F2,32.3,-92.75
F3,32.47,-91.75
F3,32.58,-91.53
F2,30.75,-92.8
F1,30.9,-90.8
F2,29.95,-90.03
F2,36.33,-88.77
F2,35.93,-89.65
F1,35.58,-89.28
F1,35.67,-88.38
F1,35.62,-88.83
F1,36.33,-88.75
F2,36.03,-84.07
F4,35.52,-84.78
F4,35.52,-84.75
F1,35.08,-86.58
F2,35.7,-85.85
F1,36.2,-94.97
F3,34.62,-98.0
F1,41.37,-82.38
F2,40.75,-81.15
F1,39.9,-83.13
F2,32.57,-89.02
F1,34.92,-88.58
F2,34.37,-88.33
F2,32.48,-89.17
F2,31.28,-89.65
F2,31.43,-89.52
F2,32.43,-89.23
F2,31.37,-94.47
F3,32.92,-94.72
F3,32.93,-94.67
F3,33.4,-94.63
F4,33.98,-99.72
F4,34.07,-99.47
F1,33.43,-98.38
F1,33.6,-96.18
F2,33.55,-98.15
F1,32.12,-98.55
F2,32.53,-94.95
F3,32.22,-95.67
F1,33.27,-96.02
F1,32.2,-99.08
F1,31.05,-96.13
F1,40.35,-75.92
F2,33.42,-88.68
F2,33.3,-88.83
F1,33.38,-88.42
F1,32.42,-101.47
F2,31.73,-99.95
F1,31.78,-97.47
F1,31.85,-99.95
F2,43.78,-97.55
F1,42.68,-96.67
F2,43.72,-99.18
F1,44.63,-98.1
F1,45.28,-97.97
F3,42.85,-97.88
F3,43.03,-97.5
F1,45.25,-98.57
F3,43.05,-97.32
F2,43.42,-97.27
F3,43.48,-96.72
F1,44.38,-103.73
F3,34.17,-98.25
F1,34.53,-96.18
F2,34.87,-96.58
F2,34.97,-96.48
F2,35.28,-96.18
F4,35.4,-97.37
F4,35.47,-96.9
F4,35.7,-96.77
F4,35.75,-96.62
F2,35.37,-96.5
F2,34.88,-95.87
F2,35.22,-95.62
F1,33.78,-94.67
F1,34.8,-99.5
F2,34.3,-96.7
F2,35.37,-95.27
F1,35.48,-95.53
F1,34.48,-97.1
F1,36.08,-97.07
F1,35.25,-95.0
F1,35.25,-96.7
F2,34.6,-96.33
F2,36.02,-96.9
F1,34.43,-98.95
F1,35.0,-96.3
F2,34.62,-96.58
F2,34.0,-96.38
F1,32.62,-99.75
F1,31.85,-97.98
F1,29.98,-97.88
F3,30.42,-97.45
F3,30.43,-97.42
F2,30.1,-96.97
F3,30.62,-97.2
F2,30.13,-96.82
F2,31.07,-95.12
F2,31.18,-94.85
F2,43.5,-98.1
F2,43.62,-97.78
F2,35.5,-97.58
F1,32.97,-103.57
F3,32.97,-103.37
F1,32.17,-103.23
F1,45.63,-94.22
F1,45.58,-94.95
F1,45.68,-92.95
F2,44.83,-92.92
F1,46.12,-94.03
F1,42.63,-77.08
F2,44.67,-74.72
F1,35.2,-80.0
F2,36.17,-79.8
F1,34.22,-77.78
F1,35.57,-77.05
F1,35.33,-94.42
F3,33.8,-93.98
